Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[20, 40[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",605
"[20, 40[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",741
"[20, 40[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",626
"[20, 40[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",626
"[20, 40[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",682
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",425
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",495
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",21
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",613
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",623
"[40, 60[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",155
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",962
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",21
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",952
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",952
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",605
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",865
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",632
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",1
"[60, 80[","[1, 2[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",422
"[20, 40[","[2, 3[","[1, 3[","[1, 2[","[1, 65[","[1, 3[","[0, 2[",91
